SRZ187527_S0341.ffn	SRR5788058
SRZ187528_S0342.ffn	SRR5788055
SRZ187529_S0343.ffn	SRR5788056
SRZ187530_S0344.ffn	SRR5788053
SRZ187531_S0345.ffn	SRR5788054
SRZ187532_S0346.ffn	SRR5788051
SRZ187533_S0347.ffn	SRR5788052
SRZ187534_S0348.ffn	SRR5788049
SRZ187535_S0349.ffn	SRR5788050
SRZ187536_S0350.ffn	SRR5788165
SRZ187537_S0351.ffn	SRR5788164
SRZ187538_S0352.ffn	SRR5788167
SRZ187539_S0353.ffn	SRR5788166
SRZ187540_S0354.ffn	SRR5788161
SRZ187541_S0355.ffn	SRR5788160
SRZ187542_S0356.ffn	SRR5788163
SRZ187543_S0357.ffn	SRR5788162
SRZ187544_S0358.ffn	SRR5788159
SRZ187545_S0359.ffn	SRR5788158
SRZ187546_S0360.ffn	SRR5788327
SRZ187547_S0361.ffn	SRR5788328
SRZ187548_S0362.ffn	SRR5788329
SRZ187549_S0363.ffn	SRR5788330
SRZ187550_S0365.ffn	SRR5788331
SRZ187551_S0366.ffn	SRR5788332
SRZ187552_S0367.ffn	SRR5788333
SRZ187553_S0368.ffn	SRR5788334
SRZ187554_S0369.ffn	SRR5788325
SRZ187555_S0370.ffn	SRR5788326
SRZ187556_S0371.ffn	SRR5788179
SRZ187557_S0372.ffn	SRR5788178
SRZ187558_S0373.ffn	SRR5788462
SRZ187559_S0374.ffn	SRR5788461
SRZ187560_S0375.ffn	SRR5788460
SRZ187561_S0376.ffn	SRR5788459
SRZ187562_S0377.ffn	SRR5788458
SRZ187563_S0378.ffn	SRR5788457
SRZ187564_S0379.ffn	SRR5788191
SRZ187565_S0380.ffn	SRR5787991
SRZ187566_S0381.ffn	SRR5788093
SRZ187567_S0382.ffn	SRR5788094
SRZ187568_S0383.ffn	SRR5788091
SRZ187569_S0384.ffn	SRR5788092
SRZ187570_S0385.ffn	SRR5788097
SRZ187571_S0386.ffn	SRR5788098
SRZ187572_S0387.ffn	SRR5788095
SRZ187573_S0388.ffn	SRR5788096
SRZ187574_S0389.ffn	SRR5788101
SRZ187575_S0390.ffn	SRR5788102
SRZ187576_S0391.ffn	SRR5788324
SRZ187577_S0392.ffn	SRR5788255
SRZ187578_S0393.ffn	SRR5788258
SRZ187579_S0394.ffn	SRR5788257
SRZ187580_S0395.ffn	SRR5788260
SRZ187581_S0396.ffn	SRR5788259
SRZ187582_S0397.ffn	SRR5788262
SRZ187583_S0398.ffn	SRR5788261
SRZ187584_S0399.ffn	SRR5788264
SRZ187585_S0400.ffn	SRR5788263
SRZ187586_S0401.ffn	SRR5788124
SRZ187587_S0402.ffn	SRR5788125
SRZ187588_S0403.ffn	SRR5788126
SRZ187589_S0404.ffn	SRR5788127
SRZ187590_S0405.ffn	SRR5788120
SRZ187591_S0406.ffn	SRR5788121
SRZ187592_S0407.ffn	SRR5788122
SRZ187593_S0408.ffn	SRR5788123
SRZ187594_S0409.ffn	SRR5788118
SRZ187595_S0410.ffn	SRR5788119
SRZ187596_S0411.ffn	SRR5788296
SRZ187597_S0412.ffn	SRR5788295
SRZ187598_S0413.ffn	SRR5788294
SRZ187599_S0414.ffn	SRR5788293
SRZ187600_S0415.ffn	SRR5788300
SRZ187601_S0416.ffn	SRR5788299
SRZ187602_S0417.ffn	SRR5788298
SRZ187603_S0418.ffn	SRR5788297
SRZ187604_S0419.ffn	SRR5788292
SRZ187605_S0420.ffn	SRR5788291
SRZ187606_S0421.ffn	SRR5788391
SRZ187607_S0422.ffn	SRR5788390
SRZ187608_S0423.ffn	SRR5788389
SRZ187609_S0424.ffn	SRR5788388
SRZ187610_S0425.ffn	SRR5788395
SRZ187611_S0426.ffn	SRR5788394
SRZ187612_S0427.ffn	SRR5788393
SRZ187613_S0428.ffn	SRR5788392
SRZ187614_S0429.ffn	SRR5788386
SRZ187615_S0430.ffn	SRR5788385
SRZ187616_S0431.ffn	SRR5788245
SRZ187617_S0432.ffn	SRR5788246
SRZ187618_S0433.ffn	SRR5788247
SRZ187619_S0434.ffn	SRR5788248
SRZ187620_S0435.ffn	SRR5788241
SRZ187621_S0436.ffn	SRR5788242
SRZ187622_S0437.ffn	SRR5788243
SRZ187623_S0438.ffn	SRR5788244
SRZ187624_S0439.ffn	SRR5788239
SRZ187625_S0440.ffn	SRR5788240
SRZ187626_S0441.ffn	SRR5788133
SRZ187627_S0442.ffn	SRR5788132
SRZ187628_S0443.ffn	SRR5788135
SRZ187629_S0444.ffn	SRR5788134
SRZ187630_S0445.ffn	SRR5788129
SRZ187631_S0446.ffn	SRR5788128
SRZ187632_S0447.ffn	SRR5788131
SRZ187633_S0448.ffn	SRR5788130
SRZ187634_S0449.ffn	SRR5788137
SRZ187635_S0450.ffn	SRR5788136
SRZ187636_S0451.ffn	SRR5788032
SRZ187637_S0452.ffn	SRR5788033
SRZ187638_S0453.ffn	SRR5788030
SRZ187639_S0454.ffn	SRR5788031
SRZ187640_S0455.ffn	SRR5788028
SRZ187641_S0456.ffn	SRR5788029
SRZ187642_S0457.ffn	SRR5788026
SRZ187643_S0458.ffn	SRR5788027
SRZ187644_S0459.ffn	SRR5788034
SRZ187645_S0460.ffn	SRR5788035
SRZ187646_S0461.ffn	SRR5788446
SRZ187647_S0462.ffn	SRR5788445
SRZ187648_S0463.ffn	SRR5788444
SRZ187649_S0464.ffn	SRR5788443
SRZ187650_S0465.ffn	SRR5788442
SRZ187651_S0466.ffn	SRR5788441
SRZ187652_S0467.ffn	SRR5788440
SRZ187653_S0468.ffn	SRR5788439
SRZ187654_S0469.ffn	SRR5788438
SRZ187655_S0470.ffn	SRR5788437
SRZ187656_S0471.ffn	SRR5788302
SRZ187657_S0472.ffn	SRR5788303
SRZ187658_S0473.ffn	SRR5788304
SRZ187659_S0474.ffn	SRR5788305
SRZ187660_S0475.ffn	SRR5788306
SRZ187661_S0476.ffn	SRR5788307
SRZ187662_S0477.ffn	SRR5788308
SRZ187663_S0478.ffn	SRR5788309
SRZ187664_S0479.ffn	SRR5788310
SRZ187665_S0480.ffn	SRR5788311
SRZ187666_S0481.ffn	SRR5788206
SRZ187667_S0482.ffn	SRR5788205
SRZ187668_S0483.ffn	SRR5788208
SRZ187669_S0484.ffn	SRR5788207
SRZ187670_S0485.ffn	SRR5788210
SRZ187671_S0486.ffn	SRR5788209
SRZ187672_S0487.ffn	SRR5788212
SRZ187673_S0488.ffn	SRR5788211
SRZ187674_S0489.ffn	SRR5788203
SRZ187675_S0490.ffn	SRR5788202
SRZ187676_S0491.ffn	SRR5788075
