Run,Sample
ERR1726635,ERS494612
ERR1726831,ERS494313
ERR1726577,ERS493070
ERR1726720,ERS494317
ERR1726703,ERS494323
ERR1726876,ERS491455
ERR1726819,ERS490761
ERR1726636,ERS490768
ERR1726558,ERS491547
ERR1726928,ERS490995
ERR1726781,ERS491153
ERR1726943,ERS491553
ERR1726687,ERS493206
ERR1726880,ERS491655
ERR1726894,ERS493157
ERR1726967,ERS493772
ERR1726632,ERS491417
ERR1726782,ERS493320
ERR1726818,ERS493336
ERR1726716,ERS491589
ERR1726583,ERS493694
ERR1726853,ERS490871
ERR1726958,ERS490875
ERR1726806,ERS491593
ERR1726597,ERS488249
ERR1726540,ERS488447
ERR1726910,ERS488696
ERR1726549,ERS488967
ERR1726575,ERS489176
ERR1726897,ERS489312
ERR1726665,ERS489507
ERR1726833,ERS490172
ERR1726898,ERS490172
ERR1726975,ERS490448
ERR1726699,ERS490553
ERR1726815,ERS491575
ERR1726628,ERS491947
ERR1726828,ERS492092
ERR1726904,ERS492188
ERR1726773,ERS492281
ERR1726762,ERS492742
ERR1726725,ERS492824
ERR1726851,ERS493055
ERR1726914,ERS493222
ERR1726848,ERS493555
ERR1726864,ERS493643
ERR1726523,ERS493677
ERR1726835,ERS494129
ERR1726817,ERS494452
ERR1726596,ERS494572
ERR1726642,ERS488262
ERR1726696,ERS489132
ERR1726839,ERS488139
ERR1726557,ERS488139
ERR1726690,ERS492404
ERR1726537,ERS488598
ERR1726905,ERS488598
ERR1726754,ERS489067
ERR1726976,ERS488503
ERR1726751,ERS488561
ERR1726770,ERS492757
ERR1726788,ERS492137
ERR1726759,ERS488485
ERR1726552,ERS492400
ERR1726855,ERS488508
ERR1726698,ERS491900
ERR1726663,ERS490159
ERR1726902,ERS488640
ERR1726809,ERS488742
ERR1726613,ERS488453
ERR1726871,ERS492161
ERR1726700,ERS492719
ERR1726745,ERS492904
ERR1726755,ERS491854
ERR1726588,ERS491854
ERR1726753,ERS488358
ERR1726932,ERS492662
ERR1726920,ERS488746
ERR1726522,ERS492751
ERR1726979,ERS488896
ERR1726814,ERS489187
ERR1726612,ERS488029
ERR1726840,ERS488681
ERR1726638,ERS494045
ERR1726581,ERS494142
ERR1726764,ERS494255
ERR1726548,ERS494263
ERR1726944,ERS493965
ERR1726674,ERS489805
ERR1726590,ERS489842
ERR1726592,ERS492560
ERR1726620,ERS492561
ERR1726605,ERS492538
ERR1726857,ERS492572
ERR1726931,ERS492573
ERR1726861,ERS494606
ERR1726653,ERS494726
ERR1726860,ERS494465
ERR1726534,ERS494359
ERR1726772,ERS494422
ERR1726727,ERS493080
ERR1726795,ERS493066
ERR1726877,ERS494313
ERR1726551,ERS494478
ERR1726778,ERS492441
ERR1726562,ERS493092
ERR1726712,ERS494536
ERR1726783,ERS494508
ERR1726621,ERS493237
ERR1726924,ERS493241
ERR1726637,ERS493188
ERR1726536,ERS493872
ERR1726593,ERS491630
ERR1726758,ERS490778
ERR1726939,ERS491157
ERR1726525,ERS492060
ERR1726895,ERS491407
ERR1726850,ERS491412
